state,pc_name,,candidate,sex,age,category,party,party_symbol,general_votes,postal_votes,total_votes,total_electors,,,a
Telangana,Adilabad ,Adilabad ,GODAM NAGESH,M,49,ST,TRS,Car,425762,5085,430847,1386282,,Adilabad ,Adilabad 
Telangana,Adilabad ,Adilabad ,NARESH,M,37,ST,INC,Hand,257994,1563,259557,1386282,,Peddapalle ,Peddapalle 
Telangana,Adilabad ,Adilabad ,RAMESH RATHOD,M,48,ST,TDP,Bicycle,182879,1319,184198,1386282,,Karimnagar ,Karimnagar 
Telangana,Adilabad ,Adilabad ,RATHOD SADASHIV,M,55,ST,BSP,Elephant,94363,57,94420,1386282,,Nizamabad,Nizamabad
Telangana,Adilabad ,Adilabad ,NETHAWATH RAMDAS,M,44,ST,IND,Auto- Rickshaw,41028,4,41032,1386282,,Zahirabad,Zahirabad
Telangana,Adilabad ,Adilabad ,PAWAR KRISHNA,M,33,ST,IND,Bat,5051,4,5055,1386282,,Medak,Medak
Telangana,Adilabad ,Adilabad ,BANKA SAHADEV,M,53,ST,IND,Gas Cylinder,4780,7,4787,1386282,,Malkajgiri,Malkajgiri
Telangana,Adilabad ,Adilabad ,MOSALI CHINNAIAH,M,40,ST,IND,Almirah,8842,17,8859,1386282,,Secundrabad,Secundrabad
Telangana,Adilabad ,Adilabad ,None of the Above,,0,,NOTA,NOTA,17021,63,17084,1386282,,Hyderabad,Hyderabad
Telangana,Peddapalle ,Peddapalle ,DR.JANAPATI SARAT BABU,M,42,SC,TDP,Bicycle,63174,160,63334,1425355,,CHELVELLA,#N/A
Telangana,Peddapalle ,Peddapalle ,TAGARAM SHANKAR LAL,M,37,SC,BSP,Elephant,9430,19,9449,1425355,,Mahbubnagar,Mahbubnagar
Telangana,Peddapalle ,Peddapalle ,BALKA SUMAN,M,31,SC,TRS,Car,563214,2282,565496,1425355,,Nagarkurnool,Nagarkurnool
Telangana,Peddapalle ,Peddapalle ,G. VIVEKANAND,M,56,SC,INC,Hand,273441,897,274338,1425355,,Nalgonda,Nalgonda
Telangana,Peddapalle ,Peddapalle ,KALVALA SHANKAR,M,44,SC,PPOI,Television,9288,2,9290,1425355,,Bhongir ,Bhongir 
Telangana,Peddapalle ,Peddapalle ,KALVALA SANJEEV,M,37,SC,RPI,Sewing Machine,8609,0,8609,1425355,,Warangal,Warangal
Telangana,Peddapalle ,Peddapalle ,BOTHA VENKATA MALLAIAH,M,58,SC,BCUF,Chappals,2245,0,2245,1425355,,Mahabubabad  ,Mahabubabad  
Telangana,Peddapalle ,Peddapalle ,J.V. RAJU,M,50,SC,NIP,Cup & Saucer,3020,0,3020,1425355,,Khammam ,Khammam 
Telangana,Peddapalle ,Peddapalle ,VENKATA SWAMY INJAM,M,42,SC,MaSP,Ring,3861,5,3866,1425355,,Aruku ,Aruku 
Telangana,Peddapalle ,Peddapalle ,VELTHURU MALLAIAH,M,57,SC,RP(K),Auto- Rickshaw,45976,1,45977,1425355,,Srikakulam,Srikakulam
